Variable,Description,Missing Values,Percentage (%),Missingness Label
num_actv_rev_tl,Number of currently active revolving trades,70309,3.110053032223191,Low (<10%)
num_tl_30dpd,Number of accounts currently 30 days past due (updated in past 2 months),70309,3.110053032223191,Low (<10%)
num_bc_tl,Number of bankcard accounts,70309,3.110053032223191,Low (<10%)
total_rev_hi_lim,Total revolving high credit/credit limit,70309,3.110053032223191,Low (<10%)
num_accts_ever_120_pd,Number of accounts ever 120 or more days past due,70309,3.110053032223191,Low (<10%)
num_il_tl,Number of installment accounts,70309,3.110053032223191,Low (<10%)
num_sats,Number of satisfactory accounts,58623,2.593133722681593,Low (<10%)
num_bc_sats,Number of satisfactory bankcard accounts,58623,2.593133722681593,Low (<10%)
total_bal_ex_mort,Total credit balance excluding mortgage,50063,2.214490107272036,Low (<10%)
total_bc_limit,Total bankcard high credit/credit limit,50063,2.214490107272036,Low (<10%)
acc_open_past_24mths,Number of trades opened in past 24 months.,50063,2.214490107272036,Low (<10%)
mort_acc,Number of mortgage accounts.,50063,2.214490107272036,Low (<10%)
title,The loan title provided by the borrower,23359,1.033263576209326,Low (<10%)
last_pymnt_d,Last month payment was received,2460,0.10881580536302679,Low (<10%)
revol_util,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit.",1835,0.08116951335006266,Low (<10%)
dti,"A ratio calculated using the borrowers total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrowers self-reported monthly income.",1744,0.07714421323297507,Low (<10%)
pub_rec_bankruptcies,Number of public record bankruptcies,1398,0.061839225974598136,Low (<10%)
collections_12_mths_ex_med,Number of collections in 12 months excluding medical collections,178,0.007873663965292182,Low (<10%)
chargeoff_within_12_mths,Number of charge-offs within 12 months,178,0.007873663965292182,Low (<10%)
tax_liens,Number of tax liens,138,0.006104301276462478,Low (<10%)
last_credit_pull_d,The most recent month LC pulled credit for this loan,105,0.004644577058177972,Low (<10%)
inq_last_6mths,The number of inquiries in past 6 months (excluding auto and mortgage inquiries),63,0.0027867462349067834,Low (<10%)
delinq_2yrs,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years,62,0.0027425121676860407,Low (<10%)
acc_now_delinq,The number of accounts on which the borrower is now delinquent.,62,0.0027425121676860407,Low (<10%)
open_acc,The number of open credit lines in the borrower's credit file.,62,0.0027425121676860407,Low (<10%)
total_acc,The total number of credit lines currently in the borrower's credit file,62,0.0027425121676860407,Low (<10%)
pub_rec,Number of derogatory public records,62,0.0027425121676860407,Low (<10%)
delinq_amnt,The past-due amount owed for the accounts on which the borrower is now delinquent.,62,0.0027425121676860407,Low (<10%)
earliest_cr_line,The month the borrower's earliest reported credit line was opened,62,0.0027425121676860407,Low (<10%)
annual_inc,The self-reported annual income provided by the borrower during registration.,37,0.001636660487167476,Low (<10%)
zip_code,The first 3 numbers of the zip code provided by the borrower in the loan application.,34,0.0015039582855052483,Low (<10%)
fico_range_low,The lower boundary range the borrowers FICO at loan origination belongs to.,33,0.0014597242182845054,Low (<10%)
application_type,Indicates whether the loan is an individual application or a joint application with two co-borrowers,33,0.0014597242182845054,Low (<10%)
addr_state,The state provided by the borrower in the loan application,33,0.0014597242182845054,Low (<10%)
fico_range_high,The upper boundary range the borrowers FICO at loan origination belongs to.,33,0.0014597242182845054,Low (<10%)
collection_recovery_fee,post charge off collection fee,33,0.0014597242182845054,Low (<10%)
issue_d,The month which the loan was funded,33,0.0014597242182845054,Low (<10%)
verification_status,"Indicates if income was verified by LC, not verified, or if the income source was verified",33,0.0014597242182845054,Low (<10%)
